Category/Section,Item Name,Item Description,Item Price,Item Image URL,Local Image Path
Most Popular,DEATH BY CHOCOLATE,SLICE OF CHOCOLATE CAKE FILLED WITH RICH CHOCOLATE MOUSSE WITH A SCOOP OF DOUBLE FUDGE BROWNIES ICE CREAM TOPPED WITH HOT FUDGE WHIPPED CREAM CHOICE OF NUTS,$14.99,https://tb-static.uber.com/prod/image-proc/processed_images/2abe11a0cdfe658e91b7228ff0c8ad0d/58f691da9eaef86b0b51f9b2c483fe63.jpeg,images\death_by_chocolate.jpeg
Most Popular,Sssscreamin Tiramisu SPECIAL Special,SLICE OF RICH ITALIAN Tiramisu SPONGE CAKE SERVED WITH ESPRESSO CHIP ICE CREAM TOPPED WITH CHOCOLATE SAUCE AND WHIPPED CREAM,$15.59,https://tb-static.uber.com/prod/image-proc/processed_images/f1ef1f11c662574ef6909fcce32a4957/58f691da9eaef86b0b51f9b2c483fe63.jpeg,images\sssscreamin_tiramisu_special_special.jpeg
Most Popular,Sssscreamin Vanilla Blossom,SLICE OF VANILLA CHEESECAKE MOUSE CAKE WITH VANILLA ICE CREAM TOPPED WITH FRESH BANANA SLICES – VANILLA SAUCE WHIPPED CREAM &amp; CHOICE OF NUTS OR SPRINKLES,$14.99,https://tb-static.uber.com/prod/image-proc/processed_images/7a5dcd456c33e4a0323d98eb84368497/3093d07d5a810674a6d7adf26679874b.jpeg,images\sssscreamin_vanilla_blossom.jpeg
Most Popular,Sssscreamin Strawberry Cheese Cake Special,a slice of New York style very rich Strawberry Cheesecake with one scoop of Strawberry cheesecake ice cream - Strawberry Sundae Topping - Fresh Strawberries &amp; Cheesecake pieces - Whipped Cream (Nuts is optional),$15.99,https://tb-static.uber.com/prod/image-proc/processed_images/3fbc4ee2d2ec4e4025146eeb882d535b/3093d07d5a810674a6d7adf26679874b.jpeg,images\sssscreamin_strawberry_cheese_cake_special.jpeg
Ice Cream,6oz Ice Cream (Medium),Creamy treat in a medium serving size.,$7.79,,
Ice Cream,12oz Ice Cream (Large),Large serving of creamy ice cream.,$11.99,,
Ice Cream,Ice Cream (PINT),A full pint of creamy ice cream.,$15.99,,
Ice Cream,Quart,Quart (32 oz) of your choice of ice cream.,$19.99,,
Sssscreamin Sundae Specials,Sssscreamin OREO'S CAKE SPECIAL,SLICE OF OREO MOUSE CAKE MADE OUT OF DELICIOUS WHITE CHOCOLATE AND CHUNKS OF OREO'S TOPPED WITH ONE SCOOP of COOKIES &amp; CREAM HOT FUDGE WHIPPED CREAM AND EXTRA CHUNKS OF OREO'S,$14.99,https://tb-static.uber.com/prod/image-proc/processed_images/e570616a45fff4248d32323678d4379b/58f691da9eaef86b0b51f9b2c483fe63.jpeg,images\sssscreamin_oreo's_cake_special.jpeg
Sssscreamin Sundae Specials,Screamin Fudge Brownie SPECIAL,A SLICE OF BROWNIE WITH HOT FUDGE &amp; A SCOOP OF gator trail ICE CREAM TOPPED WITH WHIPPED CREAM &amp; CHOCOLATE DRIZZLE,$16.99,https://tb-static.uber.com/prod/image-proc/processed_images/f26db1e75f3c7bbc2cad0e2d8867f4b8/3093d07d5a810674a6d7adf26679874b.jpeg,images\screamin_fudge_brownie_special.jpeg
Sssscreamin Sundae Specials,DEATH BY CHOCOLATE,SLICE OF CHOCOLATE CAKE FILLED WITH RICH CHOCOLATE MOUSSE WITH A SCOOP OF DOUBLE FUDGE BROWNIES ICE CREAM TOPPED WITH HOT FUDGE WHIPPED CREAM CHOICE OF NUTS,$14.99,https://tb-static.uber.com/prod/image-proc/processed_images/2abe11a0cdfe658e91b7228ff0c8ad0d/58f691da9eaef86b0b51f9b2c483fe63.jpeg,images\death_by_chocolate.jpeg
Sssscreamin Sundae Specials,Sssscreamin Apple Pie Special,a slice of Apple Pie with one scoop of Vanilla ice cream topped with caramel and choice of whipped cream and nuts.,$16.99,https://tb-static.uber.com/prod/image-proc/processed_images/f4885e5e848debce78e1680cd8facdf3/3093d07d5a810674a6d7adf26679874b.jpeg,images\sssscreamin_apple_pie_special.jpeg
Sssscreamin Sundae Specials,Sssscreamin Vanilla Blossom,SLICE OF VANILLA CHEESECAKE MOUSE CAKE WITH VANILLA ICE CREAM TOPPED WITH FRESH BANANA SLICES – VANILLA SAUCE WHIPPED CREAM &amp; CHOICE OF NUTS OR SPRINKLES,$14.99,https://tb-static.uber.com/prod/image-proc/processed_images/7a5dcd456c33e4a0323d98eb84368497/3093d07d5a810674a6d7adf26679874b.jpeg,images\sssscreamin_vanilla_blossom.jpeg
Sssscreamin Sundae Specials,Sssscreamin Tiramisu SPECIAL Special,SLICE OF RICH ITALIAN Tiramisu SPONGE CAKE SERVED WITH ESPRESSO CHIP ICE CREAM TOPPED WITH CHOCOLATE SAUCE AND WHIPPED CREAM,$15.59,https://tb-static.uber.com/prod/image-proc/processed_images/f1ef1f11c662574ef6909fcce32a4957/58f691da9eaef86b0b51f9b2c483fe63.jpeg,images\sssscreamin_tiramisu_special_special.jpeg
Sssscreamin Sundae Specials,Sssscreamin Strawberry Cheese Cake Special,a slice of New York style very rich Strawberry Cheesecake with one scoop of Strawberry cheesecake ice cream - Strawberry Sundae Topping - Fresh Strawberries &amp; Cheesecake pieces - Whipped Cream (Nuts is optional),$15.99,https://tb-static.uber.com/prod/image-proc/processed_images/3fbc4ee2d2ec4e4025146eeb882d535b/3093d07d5a810674a6d7adf26679874b.jpeg,images\sssscreamin_strawberry_cheese_cake_special.jpeg
Sssscreamin Sundae Specials,Biscoff Cake Ice Cream Special,Biscoff cake with Biscoff (cookie butter) ice cream drizzled with Biscoff sauce and crushed Biscoff,$14.99,https://tb-static.uber.com/prod/image-proc/processed_images/b1c9abd760d4366c37f69815190bcbfb/70aa2a4db7f990373ca9c376323e3dea.jpeg,images\biscoff_cake_ice_cream_special.jpeg
Banana Splits,Banana Split OG,"Original 3 flavored banana split strawberry vanilla and chocolate ice cream, with hot fudge caramel and strawberry sauces and cherry on top",$14.99,https://tb-static.uber.com/prod/image-proc/processed_images/7f466bc12626ab02f2b5e556a48b3b32/58f691da9eaef86b0b51f9b2c483fe63.jpeg,images\banana_split_og.jpeg
